"ID";"FECHA";"REFERENCIA";"NOMBRE";"DEPARTAMENTO";"SUB1";"SUB2";"SUB3";"SUB4";"SUB5";"CANTIDAD";"TOTAL VENTA";"COSTOS"
"266416";"2018-01-04";"STAY014";"STAYFREE ULTRA DELGADA X12";"5";"23";"119";"98";"0";"0";"1";"3100";"1889"
"269900";"2018-01-15";"STAY014";"STAYFREE ULTRA DELGADA X12";"5";"23";"119";"98";"0";"0";"1";"3100";"1889"
"268284";"2018-01-10";"STIC008";"STICKER DE UNAS 3D DESING";"5";"21";"112";"83";"0";"0";"3";"3600";"2250"
"266450";"2018-01-04";"STMA018";"BLUSA DAMA ST MARIA VARIAS REF";"1";"4";"29";"0";"0";"0";"1";"15000";"0"
"265844";"2018-01-03";"STRA342";"CALCETIN NINA STRAPS TALONERA";"1";"2";"17";"0";"0";"0";"2";"5000";"3086.96"
"269867";"2018-01-14";"STRA342";"CALCETIN NINA STRAPS TALONERA";"1";"2";"17";"0";"0";"0";"1";"2500";"1543.48"
"270371";"2018-01-15";"STRA342";"CALCETIN NINA STRAPS TALONERA";"1";"2";"17";"0";"0";"0";"2";"5000";"3086.96"
"270203";"2018-01-15";"STRA439";"MEDIA DAMA STRAPS TALONERA";"1";"4";"27";"0";"0";"0";"1";"3900";"1918.14"
"266774";"2018-01-05";"STRAP002";"MEDIA COLEGIAL STRAPS  AZUL";"4";"18";"104";"0";"0";"0";"2";"5800";"2479.96"
"268969";"2018-01-12";"STRAP002";"MEDIA COLEGIAL STRAPS  AZUL";"4";"18";"104";"0";"0";"0";"1";"2900";"1239.98"
"269858";"2018-01-14";"STUD100";"GRAPADORA STUDMARK PWS 100";"4";"17";"95";"65";"17";"0";"1";"18100";"0"
"270474";"2018-01-15";"STUD320";"BORRADOR STUDMARK MIGA DE PAN";"4";"17";"97";"71";"42";"0";"2";"1700";"954.96"
"265924";"2018-01-03";"STUF072";"CONJ BB STUFF BABY  ";"1";"1";"1";"0";"0";"0";"-1";"-13000";"0"
"265834";"2018-01-03";"STYL231";"MUNECA VIOLIN STYLE FASHION SHOW REF 1023/1";"2";"9";"68";"0";"0";"0";"1";"20000";"0"
"268879";"2018-01-12";"STYL985";"SILICONA REGENERADORA STYLES XXI ";"5";"23";"120";"104";"0";"0";"1";"1300";"712.53"
"267256";"2018-01-06";"SUDA282";"SUDADERA HOMBRE MARCAS ";"1";"5";"46";"0";"0";"0";"2";"61800";"44000"
"268401";"2018-01-10";"SUDA282";"SUDADERA HOMBRE MARCAS ";"1";"5";"46";"0";"0";"0";"1";"30900";"22000"
"270464";"2018-01-15";"SUEN001";"COBIJA Y CORTINA MI SUENO ESTAMPADA";"6";"27";"122";"113";"70";"0";"1";"39900";"0"
"270197";"2018-01-15";"SUEN115";"BRASILERA SUENOS INTIMOS X 3";"1";"4";"28";"34";"5";"0";"1";"15000";"12500"
"267964";"2018-01-10";"SUEN469";"LEGUIS DM MATERNO SUENOS MAERNOS";"1";"4";"35";"53";"0";"0";"2";"46200";"0"
"265744";"2018-01-03";"SUND154";"BLOQUEADOR SUNDAY FPS 50 SOBRE X10ML";"5";"23";"0";"0";"0";"0";"1";"2300";"1134"
"267650";"2018-01-08";"SUND154";"BLOQUEADOR SUNDAY FPS 50 SOBRE X10ML";"5";"23";"0";"0";"0";"0";"1";"2300";"1134"
